Identificacao_do_veiculo,Codigo_evento,Data_de_Inicio_do_protesto,Cidade,Local,Base_social,Base_social_2,Alvo_protesto,Ocupação/Atividade,Objetivo_1,Objetivo_2,Ambito_do_Protesto,Capilaridade,Unidade_Capilaridade,N_Part,Data_termino_do_protesto,Org,Org_2,Org_3,Tipo_Protesto,Confronto_entre_manifestantes,Depredacao,Presenca_policia,Repressao_policial,Detidos,Feridos,Mortos
20120528FSPC03_1,20120517OCUP01,2012-05-17,BR,BR,Trabalhadores,,Gov. Federal,Educação,Protestar_por_plano_de_carreira,melhoria_na_estrutura_educacional,Nacional,5,Estados,99,,Sindicato Nacional dos Docentes das Instituições de Ensino Superior,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120529FSPC04_1,20120323BSHT01,2012-03-23,São Paulo,Avenida_Paulista,Estudante,Trabalhadores,Reitoria/Direção de Escola,Educação,Protestar_contra_a_falta_de_estrutura,,Local,1,Instituição,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120529FSPC04_2,20120517OCUP01,2012-05-17,BR,BR,Trabalhadores,,Gov. Federal,Educação,Protestar_por_plano_de_carreira,melhoria_na_estrutura_educacional,Nacional,5,Estados,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120530FSPA08_1,20120507OCUP03,2012-05-07,São Paulo,sede_do_jornal_diario_do_nordeste,Trabalhadores,,Outros Grupos da Sociedade,Indústria,Nada_consta,,Local,1,Capitais,99,2012-05-09,,,,Greve de Empresa,NM,Sim,NM,NM,NM,Sim,NM
20120531FSPB06_1,20120522OCUP02,2012-05-22,Santos,Portos,Trabalhadores,,Gov. Estadual,Transporte,Protestar_por-regime_de_escalas,,Local,1,Cidades,99,,Sindicato dos Operadores Portuários de Santos,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120531FSPC11_1,20120526IDEN01,2012-05-26,São Paulo,Sao_Paulo,Mulheres,,Outros Grupos da Sociedade,,Marcha_das_vadias,Protestar_contra_violencia,Local,1,Capitais,500,2012-05-26,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120601FSPB10_1,20120522OCUP02,2012-05-22,Santos,Portos,Trabalhadores,,Gov. Estadual,Transporte,Protestar_por-regime_de_escalas,,Local,1,Cidades,99,,Sindicato dos Estivadores de Santos,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120601FSPB10_2,20120531OCUP01,2012-05-31,Rio de Janeiro,Rio_de_Janeiro,Trabalhadores,,Gov. Estadual,Indústria,Reajuste_salarial,vale_alimentacao,Local,1,Capitais,14000,,Sindicato dos Metalúrgicos de Niterói e Itaboraí,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120601FSPC03_1,20120531TERR01,2012-05-31,Paraisópolis,Paraisópolis,Moradores,,Gov. Estadual,,Protestar_pela_construcao_do_monotrilho,,Local,1,Cidades,99,2012-05-31,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120602FSPB08_1,20120522OCUP02,2012-05-22,Santos,Portos,Trabalhadores,,Gov. Estadual,Transporte,Protestar_por_regime_de_escalas,,Local,1,Cidades,99,,Sindicato dos Estivadores de Santos,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120602FSPB08_2,20120531OCUP01,2012-05-31,Rio de Janeiro,Rio_de_Janeiro,Trabalhadores,,Gov. Estadual,Indústria,Reajuste_salarial,vale_alimentacao,Local,1,Capitais,1350,,Sindicato dos Metalúrgicos de Niterói e Itaboraí,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120604FSPC06_1,20120603TERR01,2012-06-03,São Paulo,Avenida_Augusta,Moradores,,Gov. Municipal,,Protestar_pela_criacao_de_um_parque,,Local,1,Capitais,99,2012-05-03,Sociedade dos Amigos e Moradores do Bairro de Cerqueira César,Aliados do Parque Augusta,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120608FSPA14_1,20120607POLI01,2012-06-07,Recife,aeroporto,Militantes de Partidos,,Personalidades/Indivíduos Públicos,,Protestar_contra_lula,,Local,1,Capitais,150,2012-05-07,Partido dos Trabalhadores,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120611FSPA01_1,20120610IDEN01,2012-06-10,São Paulo,Avenida_Paulista,LGBT,,Outros Grupos da Sociedade,,Protestar_contra_homofobia,Parada_Gay,Local,1,Capitais,270000,2012-06-10,"Associação da Parada do Orgulho LGBT_x000D_
Associação da Parada do Orgulho LGBT _x000D_
_x000D_
Associação da Parada do Orgulho LGBT _x000D_
_x000D_
Associação da Parada do Orgulho LGBT",,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120611FSPA04_1,20120610IDEN02,2012-06-10,São Paulo,Centro,Religiosos,,Outros Grupos da Sociedade,,Comemorar_aniversario_da-igreja,,Local,1,Capitais,99,2012-06-10,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120613FSPA10_1,20120612NMEN01,2012-06-12,Brasília,congresso,Não Mencionada,,Personalidades/Indivíduos Públicos,,Nada_consta,,Local,1,Capitais,70,2012-06-12,"Fora, Marconi",Convocado pela Internet,,Escracho,NM,NM,NM,NM,NM,NM,NM
20120613FSPC05_1,20120517OCUP01,2012-05-17,BR,BR,Trabalhadores,,Gov. Federal,Educação,Protestar_por_plano_de_carreira,melhoria_na_estrutura_educacional,Nacional,5,Estados,99,,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120614FSPB07_1,20120613OCUP01,2012-06-13,Altamira,transamazonica,Trabalhadores,,Gov. Federal,Rural,revisao_das_indenizacoes_pagas_por_desapropriacoes,,Local,1,Cidades,99,2012-06-13,Federação dos Trabalhadores na Agricultura do Pará,,,Bloqueio de Estradas/Piquete,NM,NM,NM,NM,NM,NM,NM
20120615FSPA18_1,20120614OCUP01,2012-06-14,São Paulo,Centro,Trabalhadores,,Gov. Municipal,Administração Pública,Reajuste_salarial,,Local,1,Capitais,99,2012-06-14,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120616FSPC10_1,20120323BSHT01,2012-03-23,Guarulhos,Unifesp,Estudante,,Reitoria/Direção de Escola,,Protestar_contra_a_falta_de_estrutura,,Local,1,Instituição,99,,,,,Paralisação,NM,NM,Sim,Sim,Sim,NM,NM
20120617FSPA10_1,20120616OCUP01,2012-06-16,São Paulo,Sao_Paulo,Trabalhadores,,Gov. Federal,Profissional Liberal,Protestar_a_favor_de_incentivos_para_a_moda_no_pais,,Local,1,Capitais,20,2012-06-16,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
